Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-non-compl-noexc-disj;hist-10-2-8;false;7;2.259958;0.328334;0.311167;0.232083;0.352792;0.261625;0.556417;0.221708;0.194;0.163333
Contr-pol-non-compl-noexc-disj;hist-10-2-4;false;7;0.164333;0.226375;0.147583;0.143958;0.137542;0.1435;0.152875;0.135834;0.188042;0.1425
Contr-pol-non-compl-noexc-disj;hist-10-2-5;false;7;0.335375;0.182333;0.129458;0.137125;0.137791;0.195833;0.155542;0.156458;0.1325;0.127
Contr-pol-non-compl-noexc-disj;hist-10-2-9;false;7;0.1365;0.137;0.185292;0.178084;0.131583;0.115083;0.129375;0.119667;0.111;0.11725
Contr-pol-non-compl-noexc-disj;hist-10-2-2;false;7;0.124292;0.110458;0.115166;0.112667;0.108792;0.185792;0.109208;0.1185;0.193292;0.12
Contr-pol-non-compl-noexc-disj;hist-10-2-3;false;7;0.123167;0.114584;0.115833;0.105083;0.108125;0.151541;0.225292;0.110208;0.116792;0.099041
Contr-pol-non-compl-noexc-disj;hist-10-2-1;false;7;0.110792;0.106458;0.107709;0.170834;0.100833;2.53625;0.173334;0.098625;0.0975;0.206125
Contr-pol-non-compl-noexc-disj;hist-10-2-10;false;7;0.094375;0.089583;0.088833;0.369834;0.099375;0.098958;0.096292;0.08825;0.120709;0.095833
Contr-pol-non-compl-noexc-disj;hist-10-2-6;false;7;0.096916;0.088375;0.090416;0.09;0.1835;0.126541;0.090792;0.085584;0.084125;0.080834
Contr-pol-non-compl-noexc-disj;hist-10-2-7;false;7;0.0875;0.083875;0.082834;0.086208;0.083833;0.087042;0.084292;0.082292;0.085708;0.093792
Contr-pol-noncompl-exc-3;hist-10-2-8;false;43;2.781292;0.487125;0.425375;0.541;0.350959;0.331917;0.333958;0.337625;0.376208;0.367666
Contr-pol-noncompl-exc-3;hist-10-2-4;false;40;0.442333;0.423875;0.451333;0.438;0.405459;0.37175;0.515708;0.352834;0.384125;0.334833
Contr-pol-noncompl-exc-3;hist-10-2-5;false;45;0.307459;0.286667;0.274583;0.29975;0.282417;0.321667;0.270125;0.379958;0.288959;0.281541
Contr-pol-noncompl-exc-3;hist-10-2-9;false;38;0.277292;0.284;0.309125;0.296541;0.27625;0.266083;0.283166;0.658208;0.26875;0.261417
Contr-pol-noncompl-exc-3;hist-10-2-2;false;43;0.324084;0.620291;0.320459;0.249792;0.240667;0.236417;0.230584;0.229375;1.017959;0.451459
Contr-pol-noncompl-exc-3;hist-10-2-3;false;44;0.456417;0.334084;0.266125;0.192041;0.195583;0.202417;0.239917;0.246541;0.250708;0.212625
Contr-pol-noncompl-exc-3;hist-10-2-1;false;48;0.363333;0.277417;0.221917;0.201541;0.202125;0.301625;0.22175;0.213125;0.197208;0.197917
Contr-pol-noncompl-exc-3;hist-10-2-10;false;46;0.210875;0.185125;0.188666;0.182083;0.181333;0.210334;0.187458;0.185709;0.2345;0.212
Contr-pol-noncompl-exc-3;hist-10-2-6;false;46;0.219;0.190542;0.186958;0.198667;0.182625;0.182375;0.222584;0.17675;0.1745;0.192333
Contr-pol-noncompl-exc-3;hist-10-2-7;false;47;0.190375;0.192917;0.240708;0.211958;0.193333;0.188834;0.181791;0.145125;0.144708;0.142542
Contr-pol-non-compl-noexc-nonsubs;hist-10-2-8;false;13;0.435;0.075583;0.047083;0.0575;0.057875;0.053833;0.045875;0.047875;0.043917;0.044875
Contr-pol-non-compl-noexc-nonsubs;hist-10-2-4;false;13;0.049625;0.041333;0.043542;0.043375;0.043083;0.044459;0.041666;0.096625;0.050792;0.044709
Contr-pol-non-compl-noexc-nonsubs;hist-10-2-5;false;13;0.047125;0.044292;0.044416;0.043166;0.042917;0.043125;0.125833;0.05625;0.059958;0.043
