Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-compl-ovrd-10;hist-100-20-8;true;99;12.879042;3.090042;1.449292;1.657917;3.150833;0.847625;0.682334;1.122875;0.563459;1.595417
Contr-pol-compl-ovrd-10;hist-100-20-4;true;100;0.613166;0.458125;0.42975;0.411;0.395917;0.795708;0.684916;0.908125;0.409083;0.454417
Contr-pol-compl-ovrd-10;hist-100-20-5;true;77;0.355375;0.345834;1.128416;0.377083;0.287042;0.568875;0.285208;0.429333;0.423792;0.440958
Contr-pol-compl-ovrd-10;hist-100-20-9;true;80;0.603667;0.328875;0.295625;0.349083;0.324208;0.333125;0.291667;0.297709;0.29875;0.260334
Contr-pol-compl-ovrd-10;hist-100-20-2;true;181;0.552417;0.48525;0.47625;0.472958;0.453583;0.689666;1.13875;0.824292;0.616417;0.566958
Contr-pol-compl-ovrd-10;hist-100-20-10;true;10;0.288083;0.132917;0.119958;0.1465;0.119833;0.114708;0.115792;0.13425;0.161875;0.127042
Contr-pol-compl-ovrd-10;hist-100-20-3;true;179;0.60125;0.602709;1.263917;1.114917;0.657458;0.53025;0.752708;0.5565;0.649458;0.564833
Contr-pol-compl-ovrd-10;hist-100-20-1;true;148;0.552208;0.45425;0.464292;0.511416;0.684375;0.888708;0.526334;0.449917;0.440334;0.477583
Contr-pol-compl-ovrd-10;hist-100-20-6;true;248;1.572792;0.892875;0.786292;0.719;0.919875;1.174583;0.802208;0.763459;0.799541;0.824875
Contr-pol-compl-ovrd-10;hist-100-20-7;true;146;0.59725;0.484125;0.401917;0.390541;0.434125;0.409875;0.418625;0.738708;0.744375;0.730958
Contr-pol-compl-ovrd-11;hist-100-20-8;true;109;1.076833;1.569;0.878292;0.425625;0.406375;0.346375;0.318375;0.330625;0.351208;0.515542
Contr-pol-compl-ovrd-11;hist-100-20-4;true;77;1.01725;0.401083;0.276542;0.290542;0.296792;0.228375;0.214333;0.216667;0.211;0.247292
Contr-pol-compl-ovrd-11;hist-100-20-5;true;127;0.503334;0.31475;0.306792;0.316292;0.308917;0.323291;0.424583;0.492334;0.563917;0.615416
Contr-pol-compl-ovrd-11;hist-100-20-9;true;23;0.344875;0.114209;0.103208;0.10125;0.118834;0.100292;0.103875;0.10575;0.097584;0.101166
Contr-pol-compl-ovrd-11;hist-100-20-2;true;115;0.683416;0.425458;0.353625;0.595042;0.34625;0.300667;0.31725;0.349875;0.30375;0.311708
Contr-pol-compl-ovrd-11;hist-100-20-10;true;158;0.533417;0.6395;0.446958;0.476959;0.416542;0.402041;0.40025;0.418292;0.41325;0.449125
Contr-pol-compl-ovrd-11;hist-100-20-3;true;102;0.524916;0.595875;0.523542;0.288;0.266375;0.270291;0.267;0.3045;0.263917;0.269833
Contr-pol-compl-ovrd-11;hist-100-20-1;true;74;0.381417;0.299875;0.247416;0.54;0.281917;0.267459;0.396583;0.219709;0.222709;0.209542
Contr-pol-compl-ovrd-11;hist-100-20-6;true;96;0.367791;0.268375;0.285708;0.323166;0.485583;0.480417;0.802167;0.370333;0.292542;0.27975
Contr-pol-compl-ovrd-11;hist-100-20-7;true;94;0.3735;0.308167;0.371958;0.326375;0.362708;0.3155;0.424709;0.29425;0.281333;0.269542
Contr-pol-compl-ovrd-1;hist-100-20-8;true;88;1.194917;0.278417;0.224959;0.215083;0.208667;0.23925;0.214;0.219083;0.207709;0.210875
Contr-pol-compl-ovrd-1;hist-100-20-4;true;154;0.3665;0.346042;0.336292;0.407167;0.852875;0.37225;0.342875;0.403834;0.330625;0.345375
Contr-pol-compl-ovrd-1;hist-100-20-5;true;178;0.394208;0.372125;0.378042;0.476958;0.384333;0.385584;0.382542;0.365208;0.366083;0.357417
Contr-pol-compl-ovrd-1;hist-100-20-9;true;220;0.559375;0.496541;1.468959;0.514333;0.479417;0.459958;0.466375;0.575125;0.754959;0.740875
Contr-pol-compl-ovrd-1;hist-100-20-2;true;75;0.232;0.195125;0.194541;0.174833;0.170667;0.166042;0.175625;0.191292;0.174084;0.165916
Contr-pol-compl-ovrd-1;hist-100-20-10;true;183;0.524458;0.457625;0.7425;0.61475;0.409292;0.9945;0.476875;0.605209;0.44725;0.580208
Contr-pol-compl-ovrd-1;hist-100-20-3;true;161;0.4445;0.389375;0.381583;0.390667;0.3795;0.385125;0.593334;0.517541;0.3965;0.406709
