Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-compl-ovrd-10;hist-50-10-3;true;50;3.331292;0.883125;0.796083;0.748583;0.662959;0.539166;0.508542;0.511833;0.86825;0.789
Contr-pol-compl-ovrd-10;hist-50-10-2;true;6;0.191083;0.161833;0.171458;0.156875;0.145416;0.1635;0.141875;0.165833;0.137541;0.31125
Contr-pol-compl-ovrd-10;hist-50-10-9;true;55;0.379209;0.439;0.37075;0.364042;0.373542;0.519458;0.370958;0.301375;0.328708;0.284292
Contr-pol-compl-ovrd-10;hist-50-10-5;true;71;0.4805;0.387333;0.289417;0.474917;0.270333;0.263333;0.245916;0.249;0.248375;0.270708
Contr-pol-compl-ovrd-10;hist-50-10-4;true;26;0.196292;0.185958;0.161583;0.148125;0.171916;0.150708;0.140042;0.15225;0.151875;0.154458
Contr-pol-compl-ovrd-10;hist-50-10-8;true;110;0.473875;0.436959;0.54625;0.356333;0.3635;0.375584;0.354583;0.35375;0.486583;0.820792
Contr-pol-compl-ovrd-10;hist-50-10-10;true;80;0.431291;0.427542;0.364792;0.266834;0.250584;0.243958;0.347667;0.242667;0.229917;0.227
Contr-pol-compl-ovrd-10;hist-50-10-7;true;49;0.186542;0.141917;0.138416;0.138875;0.1385;0.149;0.162333;0.157417;0.14625;0.15675
Contr-pol-compl-ovrd-10;hist-50-10-6;true;43;0.174708;0.133333;0.162667;0.15125;0.132542;0.147125;0.323208;0.244334;0.192333;0.13825
Contr-pol-compl-ovrd-10;hist-50-10-1;true;99;0.320291;0.279041;0.2825;0.272167;0.267084;0.310125;0.278167;0.308917;0.27475;0.26875
Contr-pol-compl-ovrd-1;hist-50-10-3;true;33;0.314292;0.138666;0.129167;0.127666;0.111167;0.116333;0.1155;0.110875;0.1125;0.109542
