Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-noncompl-exc-23;hist-50-10-3;false;192;4.044625;0.943708;0.871375;0.947458;0.660208;0.599584;0.601083;0.913292;0.632334;0.535708
Contr-pol-noncompl-exc-23;hist-50-10-2;false;175;1.149083;1.997084;1.1075;1.005875;0.743417;0.714583;0.642292;0.660958;0.55375;0.578083
Contr-pol-noncompl-exc-23;hist-50-10-9;false;194;0.43025;0.406458;0.393167;0.397584;0.417042;0.392583;0.372292;0.382459;0.380208;0.515834
Contr-pol-noncompl-exc-23;hist-50-10-5;false;193;0.548833;0.643667;0.461458;0.443084;0.618125;0.466291;0.503416;0.548334;0.406958;0.419
Contr-pol-noncompl-exc-23;hist-50-10-4;false;203;0.574375;0.523875;0.50425;0.4775;0.540625;0.451667;0.444167;0.440666;0.435667;0.560292
Contr-pol-noncompl-exc-23;hist-50-10-8;false;200;0.6805;0.424084;0.428833;0.381333;0.362625;0.360875;0.443791;0.348541;0.360417;0.359209
Contr-pol-noncompl-exc-23;hist-50-10-10;false;203;0.461375;0.465833;0.436709;0.418709;0.410459;0.405292;0.403167;0.408083;0.457625;0.601833
Contr-pol-noncompl-exc-23;hist-50-10-7;false;196;0.537458;0.429792;0.418375;0.43175;0.414458;0.388791;0.389667;0.426042;0.396833;0.408875
Contr-pol-noncompl-exc-23;hist-50-10-6;false;200;0.417625;0.409;0.406542;0.35625;0.354042;0.576166;0.379125;0.35375;0.364417;0.361958
Contr-pol-noncompl-exc-23;hist-50-10-1;false;195;0.433291;0.370125;0.36425;0.419125;0.403667;0.33675;0.352583;0.331916;0.339167;0.337125
Contr-pol-noncompl-exc-35;hist-50-10-3;false;198;0.466667;0.293583;0.272042;0.265667;0.245;0.220083;0.194042;0.187;0.190209;0.19775
Contr-pol-noncompl-exc-35;hist-50-10-2;false;177;0.417542;0.371083;0.32975;0.349167;0.34;0.345459;0.345625;0.344584;0.339209;0.362167
Contr-pol-noncompl-exc-35;hist-50-10-9;false;204;0.259958;0.209458;0.210958;0.207417;0.205834;0.212167;0.20025;0.229209;0.207292;0.201958
Contr-pol-noncompl-exc-35;hist-50-10-5;false;183;0.398042;0.350708;0.371083;0.351167;0.35625;0.366;0.352041;0.357583;0.348584;0.368334
Contr-pol-noncompl-exc-35;hist-50-10-4;false;196;0.219583;0.172917;0.185167;0.179208;0.181542;0.176458;0.178459;0.169167;0.194833;0.194292
Contr-pol-noncompl-exc-35;hist-50-10-8;false;189;0.239375;0.147334;0.146209;0.14425;0.1475;0.145083;0.148542;0.156208;0.157875;0.158459
Contr-pol-noncompl-exc-35;hist-50-10-10;false;201;0.233;0.203166;0.189542;0.204125;0.194542;0.186833;0.187;0.202542;0.208125;0.197625
Contr-pol-noncompl-exc-35;hist-50-10-7;false;179;0.290375;0.362625;0.277333;0.233084;0.246125;0.229708;0.219625;0.291375;0.2215;0.207959
Contr-pol-noncompl-exc-35;hist-50-10-6;false;197;0.359;0.2735;0.27125;0.261917;0.331708;0.2835;0.271334;0.331292;0.293583;0.385792
Contr-pol-noncompl-exc-35;hist-50-10-1;false;191;0.345625;0.271667;0.2715;0.268958;0.260042;0.263834;0.266;0.256542;0.677542;0.492292
Contr-pol-noncompl-exc-19;hist-50-10-3;false;195;0.523625;0.242958;0.249375;0.226208;0.234416;0.235625;0.221333;0.215541;0.226958;0.217125
Contr-pol-noncompl-exc-19;hist-50-10-2;false;195;0.248958;0.193709;0.175667;0.181875;0.226292;0.173375;0.169041;0.175292;0.182583;0.194042
Contr-pol-noncompl-exc-19;hist-50-10-9;false;152;0.4555;0.348625;0.349083;0.356083;0.353416;0.345125;0.350625;0.362208;0.334834;0.330875
Contr-pol-noncompl-exc-19;hist-50-10-5;false;205;0.339458;0.326375;0.317292;0.317291;0.31325;0.298417;0.295459;0.352167;0.310709;0.316792
Contr-pol-noncompl-exc-19;hist-50-10-4;false;200;0.325708;0.280208;0.278917;0.308917;0.275958;0.276125;0.274333;0.282583;0.276125;0.280583
